iter	Accuracy	MultiClass
351	0.8663185881	0.3783339666
352	0.8663907703	0.3782855447
353	0.8664629525	0.3781829171
354	0.8664509221	0.3781366627
355	0.866643408	0.3779638008
356	0.8666674687	0.3779036563
357	0.8668479242	0.3777015061
358	0.8669201063	0.3776555935
359	0.8670163493	0.3776060573
360	0.86704041	0.377576222
361	0.8668960456	0.3774022589
362	0.8668238634	0.3773372898
363	0.8669561974	0.3771538199
364	0.8670524404	0.3768756414
365	0.8670644707	0.3767695509
366	0.8671607136	0.3767044161
367	0.8671847744	0.3766446685
368	0.8672689869	0.3764955917
369	0.8672569566	0.3764504518
370	0.8672208655	0.3763061823
371	0.8672449262	0.3762753716
372	0.8672810173	0.3761924727
373	0.8674975639	0.3760473571
374	0.8674614728	0.376012432
375	0.8674013209	0.3759532101
376	0.8674494424	0.375802089
377	0.8674975639	0.3756266865
378	0.8675216246	0.3754605241
379	0.8675216246	0.3754045757
380	0.8675577157	0.3752018026
381	0.8676298979	0.3750727826
382	0.8677141104	0.3750287185
383	0.8676900497	0.3749719624
384	0.8676539586	0.3748968594
385	0.8677020801	0.3748384366
386	0.8676058371	0.3747516449
387	0.8675938068	0.3746930035
388	0.8676178675	0.3746200264
389	0.8677502015	0.3744949764
390	0.867798323	0.3744310309
391	0.8677742622	0.374346551
392	0.867798323	0.374289091
393	0.8678103533	0.3742665601
394	0.8678825355	0.3742018094
395	0.8678945659	0.3741644793
396	0.8678705052	0.3740818226
397	0.8678705052	0.3739883446
398	0.8680509606	0.373878789
399	0.8680389303	0.3736966349
400	0.8680750214	0.3736464377
401	0.8680389303	0.3736023671
402	0.8680990821	0.3734910078
403	0.8681592339	0.3733118564
404	0.8682073554	0.373240847
405	0.8682073554	0.3732140551
406	0.8683035983	0.373157904
407	0.8683878108	0.3730036881
408	0.8683998412	0.3729286518
409	0.8683757805	0.3728173638
410	0.8684359323	0.3726623785
411	0.8684359323	0.3725702631
412	0.8684359323	0.3725116427
413	0.8684479627	0.3724840694
414	0.8684359323	0.3724338323
415	0.8685802967	0.3723716827
416	0.8686163878	0.3722832888
417	0.868592327	0.3722453993
418	0.8685682663	0.3721572222
419	0.8686284181	0.3720592747
420	0.8687006003	0.3717851111
421	0.8687006003	0.3717692101
422	0.8687968432	0.371702733
423	0.8687727825	0.3716799566
424	0.8687487218	0.3716096466
425	0.8688329343	0.371517285
426	0.8688810558	0.3713146591
427	0.8689051165	0.3712862202
428	0.8690013594	0.3711681885
429	0.8689893291	0.3711256183
430	0.8690735416	0.3709678961
431	0.8691336934	0.3708810252
432	0.8691457238	0.3707634062
433	0.8692299364	0.3706444072
434	0.8693261793	0.3703681268
435	0.8693743007	0.3702906199
436	0.8693863311	0.3702395533
437	0.8694464829	0.3702007047
438	0.8695788169	0.3700727775
439	0.8695547562	0.3700409534
440	0.8695427258	0.3698976732
441	0.8695427258	0.3697956867
442	0.8695667866	0.3697419177
443	0.8695667866	0.3697026959
444	0.8695908473	0.3696692492
445	0.8694946044	0.3696041591
446	0.8696028777	0.3694345072
447	0.869614908	0.3692753613
448	0.8696389688	0.3691258108
449	0.8696630295	0.3689636434
450	0.8696028777	0.3688351385
451	0.8696509991	0.3685870333
452	0.8696991206	0.3685481798
453	0.8696750599	0.3685090923
454	0.8696389688	0.3684864902
455	0.869747242	0.3683974669
456	0.869747242	0.3683704827
457	0.8697352117	0.3683223388
458	0.8697352117	0.368227819
459	0.869747242	0.3681937235
460	0.869747242	0.3681562919
461	0.8697833331	0.3680634695
462	0.8698073939	0.3680406484
463	0.8698555153	0.3680043876
464	0.8697953635	0.3678399838
465	0.8698675457	0.3678002787
466	0.8697953635	0.3677626542
467	0.8699276975	0.3676940083
468	0.8699036368	0.3676057874
469	0.8699637886	0.3673925195
470	0.8699276975	0.3673607533
471	0.8700239404	0.3673028742
472	0.8700239404	0.3672687504
473	0.8699517582	0.3672080099
474	0.8699878493	0.3671325019
475	0.8700600315	0.3670488574
476	0.8700720619	0.3670205569
477	0.870108153	0.3669250857
478	0.8701442441	0.3667520093
479	0.8701803352	0.3666715506
480	0.8702043959	0.3666198477
481	0.8702164263	0.3665678111
482	0.870240487	0.3665284405
483	0.8703126692	0.3663768859
484	0.8703126692	0.366304328
485	0.870372821	0.3661975731
486	0.870372821	0.3661107751
487	0.8705412461	0.3659874936
488	0.8705653068	0.3659616021
489	0.8705653068	0.3658722142
490	0.8705532765	0.3658344563
491	0.8705532765	0.3657275059
492	0.8706254587	0.3656141672
493	0.870637489	0.3654946793
494	0.8706976408	0.3654264233
495	0.8706856105	0.3653757589
496	0.8706976408	0.3653340011
497	0.8707457623	0.3652708139
498	0.8708299749	0.3651365697
499	0.8707337319	0.3649295957
